"Province,""District"",""Jan"",""Feb"",""Mar"",""Apr"",""May"",""June"",""July"",""Aug"",""Sept"",""Oct"",""Nov"",""Dec"",""Total"""
"Western,""Colombo"",1693,767,235,30,189,294,324,231,192,151,59,92,4257"
"Western,""Gampaha"",1049,452,128,36,95,188,175,216,171,43,51,51,2655"
"Western,""Kalutara"",536,273,112,46,111,250,177,101,82,37,33,52,1810"
"Central,""Kandy"",674,290,114,36,230,449,595,406,275,205,115,43,3432"
"Central,""Matale"",276,110,44,9,23,25,36,19,15,14,14,10,595"
"Central,""Nuwara Eliya"",77,28,16,1,2,11,14,9,8,1,0,1,168"
"Southern,""Galle"",651,249,63,41,233,149,101,60,67,27,17,12,1670"
"Southern,""Hambantota"",156,78,24,6,11,15,24,17,12,10,6,9,368"
"Southern,""Matara"",227,120,21,6,21,27,39,17,15,27,17,8,545"
"Northern,""Jaffna"",1061,490,154,38,112,58,51,26,55,52,21,39,2157"
"Northern,""Kilinochchi"",64,31,8,1,1,11,6,3,1,3,5,1,135"
"Northern,""Mannar"",90,25,2,1,1,3,8,3,1,0,0,3,137"
"Northern,""Vavuniya"",139,72,15,5,4,4,7,2,1,0,2,1,252"
"Northern,""Mulativu"",58,15,2,1,1,2,2,3,1,0,1,4,90"
"Eastern,""Batticaloa"",1088,650,222,86,84,69,78,40,48,236,276,840,3717"
"Eastern,""Ampara"",152,88,39,3,6,10,5,4,3,3,5,0,318"
"Eastern,""Trincomalee"",1455,569,143,40,33,13,17,5,3,5,5,8,2296"
"Eastern,""Kalmunai"",530,228,39,30,11,17,13,21,40,30,9,12,980"
"North Western,""Kurunegala"",421,174,55,7,18,62,57,69,30,34,11,31,969"
"North Western,""Puttalam"",224,83,36,5,24,21,24,35,10,13,11,14,500"
"North central,""Anuradhapura"",184,95,44,8,9,26,19,9,12,11,6,10,433"
"North central,""Polonnaruwa"",81,77,23,2,7,20,10,4,7,12,3,5,251"
"Uva,""Badulla"",230,91,33,9,15,30,23,21,14,12,17,30,525"
"Uva,""Moneragala"",0,0,0,0,0,0,0,0,0,0,0,0,0"
"Sabaragamuwa,""Ratnapura"",296,206,69,47,223,398,381,174,90,65,47,18,2014"
"Sabaragamuwa,""Kegalle"",196,107,42,17,84,100,102,64,55,37,39,22,865"
"TOTAL,"""",11608,5368,1683,511,1548,2252,2288,1559,1208,1028,770,1316,31139"
